 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.10390E+03   0.15623E+01   0.10932E+00   0.00000E+00
   0.10410E+03   0.15696E+01   0.10952E+00   0.00000E+00
   0.10429E+03   0.15769E+01   0.10972E+00   0.00000E+00
   0.10448E+03   0.15843E+01   0.10992E+00   0.00000E+00
   0.10467E+03   0.15917E+01   0.11012E+00   0.00000E+00
   0.10487E+03   0.15991E+01   0.11032E+00   0.00000E+00
   0.10506E+03   0.16065E+01   0.11052E+00   0.00000E+00
   0.10525E+03   0.16139E+01   0.11072E+00   0.00000E+00
   0.10545E+03   0.16213E+01   0.11092E+00   0.00000E+00
   0.10564E+03   0.16288E+01   0.11112E+00   0.00000E+00
   0.10583E+03   0.16362E+01   0.11132E+00   0.00000E+00
   0.10603E+03   0.16437E+01   0.11152E+00   0.00000E+00
   0.10622E+03   0.16511E+01   0.11172E+00   0.00000E+00
   0.10641E+03   0.16586E+01   0.11192E+00   0.00000E+00
   0.10660E+03   0.16661E+01   0.11212E+00   0.00000E+00
   0.10680E+03   0.16736E+01   0.11232E+00   0.00000E+00
   0.10699E+03   0.16811E+01   0.11252E+00   0.00000E+00
   0.10718E+03   0.16887E+01   0.11272E+00   0.00000E+00
   0.10738E+03   0.16962E+01   0.11292E+00   0.00000E+00
   0.10757E+03   0.17038E+01   0.11312E+00   0.00000E+00
   0.10776E+03   0.17113E+01   0.11332E+00   0.00000E+00
   0.10796E+03   0.17189E+01   0.11352E+00   0.00000E+00
   0.10815E+03   0.17265E+01   0.11372E+00   0.00000E+00
   0.10834E+03   0.17341E+01   0.11392E+00   0.00000E+00
   0.10854E+03   0.17418E+01   0.11412E+00   0.00000E+00
   0.10873E+03   0.17494E+01   0.11432E+00   0.00000E+00
   0.10892E+03   0.17571E+01   0.11452E+00   0.00000E+00
   0.10912E+03   0.17648E+01   0.11472E+00   0.00000E+00
   0.10931E+03   0.17725E+01   0.11492E+00   0.00000E+00
   0.10950E+03   0.17802E+01   0.11512E+00   0.00000E+00
   0.10970E+03   0.17879E+01   0.11532E+00   0.00000E+00
   0.10989E+03   0.17957E+01   0.11552E+00   0.00000E+00
   0.11008E+03   0.18034E+01   0.11572E+00   0.00000E+00
   0.11028E+03   0.18112E+01   0.11592E+00   0.00000E+00
   0.11047E+03   0.18190E+01   0.11612E+00   0.00000E+00
   0.11066E+03   0.18269E+01   0.11632E+00   0.00000E+00
   0.11086E+03   0.18347E+01   0.11652E+00   0.00000E+00
   0.11105E+03   0.18425E+01   0.11672E+00   0.00000E+00
   0.11124E+03   0.18504E+01   0.11692E+00   0.00000E+00
   0.11144E+03   0.18583E+01   0.11712E+00   0.00000E+00
   0.11163E+03   0.18662E+01   0.11732E+00   0.00000E+00
   0.11182E+03   0.18741E+01   0.11752E+00   0.00000E+00
   0.11202E+03   0.18821E+01   0.11772E+00   0.00000E+00
   0.11221E+03   0.18900E+01   0.11792E+00   0.00000E+00
   0.11240E+03   0.18980E+01   0.11812E+00   0.00000E+00
   0.11260E+03   0.19060E+01   0.11832E+00   0.00000E+00
   0.11279E+03   0.19140E+01   0.11852E+00   0.00000E+00
   0.11299E+03   0.19220E+01   0.11872E+00   0.00000E+00
   0.11318E+03   0.19301E+01   0.11892E+00   0.00000E+00
   0.11337E+03   0.19382E+01   0.11912E+00   0.00000E+00
   0.11357E+03   0.19463E+01   0.11932E+00   0.00000E+00
   0.11376E+03   0.19544E+01   0.11952E+00   0.00000E+00
   0.11395E+03   0.19625E+01   0.11972E+00   0.00000E+00
   0.11415E+03   0.19706E+01   0.11992E+00   0.00000E+00
   0.11434E+03   0.19788E+01   0.12012E+00   0.00000E+00
   0.11453E+03   0.19870E+01   0.12032E+00   0.00000E+00
   0.11473E+03   0.19952E+01   0.12052E+00   0.00000E+00
   0.11492E+03   0.20034E+01   0.12072E+00   0.00000E+00
   0.11512E+03   0.20117E+01   0.12092E+00   0.00000E+00
   0.11531E+03   0.20199E+01   0.12112E+00   0.00000E+00
   0.11550E+03   0.20282E+01   0.12132E+00   0.00000E+00
   0.11570E+03   0.20365E+01   0.12152E+00   0.00000E+00
   0.11589E+03   0.20448E+01   0.12172E+00   0.00000E+00
   0.11608E+03   0.20532E+01   0.12192E+00   0.00000E+00
   0.11628E+03   0.20615E+01   0.12212E+00   0.00000E+00
   0.11647E+03   0.20699E+01   0.12232E+00   0.00000E+00
   0.11667E+03   0.20783E+01   0.12252E+00   0.00000E+00
   0.11686E+03   0.20868E+01   0.12272E+00   0.00000E+00
   0.11705E+03   0.20952E+01   0.12292E+00   0.00000E+00
   0.11725E+03   0.21037E+01   0.12312E+00   0.00000E+00
